CustomerKey,First_Name,Last_Name,Full_Name,Gender,EmailAddress,Date_First_Purchase,Customer_City
11000,Jon,Yang,Jon Yang,Male,jon24@adventure-works.com,19-01-2020,Rockhampton
11001,Eugene,Huang,Eugene Huang,Male,eugene10@adventure-works.com,15-01-2020,Seaford
11002,Ruben,Torres,Ruben Torres,Male,ruben35@adventure-works.com,07-01-2020,Hobart
11003,Christy,Zhu,Christy Zhu,Female,christy12@adventure-works.com,29-12-2019,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,elizabeth5@adventure-works.com,23-01-2020,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,julio1@adventure-works.com,30-12-2019,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,janet9@adventure-works.com,24-01-2020,Matraville
11007,Marco,Mehta,Marco Mehta,Male,marco14@adventure-works.com,09-01-2020,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,rob4@adventure-works.com,25-01-2020,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Male,shannon38@adventure-works.com,27-01-2020,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,jacquelyn20@adventure-works.com,14-01-2020,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,curtis9@adventure-works.com,30-12-2019,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,lauren41@adventure-works.com,16-03-2022,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Male,ian47@adventure-works.com,13-04-2022,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,sydney23@adventure-works.com,23-03-2022,Redmond
11015,Chloe,Young,Chloe Young,Female,chloe23@adventure-works.com,18-01-2022,Burbank
11016,Wyatt,Hill,Wyatt Hill,Male,wyatt32@adventure-works.com,09-02-2022,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,shannon1@adventure-works.com,12-01-2020,Sunbury
11018,Clarence,Rai,Clarence Rai,Male,clarence32@adventure-works.com,17-01-2020,Bendigo
11019,Luke,Lal,Luke Lal,Male,luke18@adventure-works.com,12-02-2022,Langley
11020,Jordan,King,Jordan King,Male,jordan73@adventure-works.com,29-12-2021,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,destiny7@adventure-works.com,23-01-2022,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Male,ethan20@adventure-works.com,20-01-2022,Bellingham
11023,Seth,Edwards,Seth Edwards,Male,seth46@adventure-works.com,17-02-2022,Bellflower
11024,Russell,Xie,Russell Xie,Male,russell7@adventure-works.com,27-06-2022,Concord
11025,Alejandro,Beck,Alejandro Beck,Male,alejandro45@adventure-works.com,06-01-2020,Hawthorne
11026,Harold,Sai,Harold Sai,Male,harold3@adventure-works.com,23-01-2020,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Male,jessie16@adventure-works.com,16-01-2020,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,jill13@adventure-works.com,26-01-2020,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Male,jimmy9@adventure-works.com,19-01-2020,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,bethany10@adventure-works.com,05-02-2020,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,theresa13@adventure-works.com,01-02-2020,Matraville
11032,Denise,Stone,Denise Stone,Female,denise10@adventure-works.com,18-02-2020,Melbourne
11033,Jaime,Nath,Jaime Nath,Male,jaime41@adventure-works.com,15-02-2020,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,ebony19@adventure-works.com,01-02-2020,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,wendy12@adventure-works.com,06-02-2020,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,jennifer93@adventure-works.com,22-01-2022,National City
11037,Chloe,Garcia,Chloe Garcia,Female,chloe27@adventure-works.com,20-01-2022,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,diana2@adventure-works.com,07-02-2020,Lavender Bay
11039,Marc,Martin,Marc Martin,Male,marc3@adventure-works.com,07-02-2020,Wollongong
11040,Jesse,Murphy,Jesse Murphy,Male,jesse15@adventure-works.com,03-04-2022,Tacoma
11041,Amanda,Carter,Amanda Carter,Female,amanda53@adventure-works.com,14-01-2022,Glendale
11042,Megan,Sanchez,Megan Sanchez,Female,megan28@adventure-works.com,21-01-2022,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,Male,nathan11@adventure-works.com,08-05-2022,Glendale
11044,Adam,Flores,Adam Flores,Male,adam10@adventure-works.com,28-02-2020,Hervey Bay
11045,Leonard,Nara,Leonard Nara,Male,leonard18@adventure-works.com,10-04-2022,Matraville
11046,Christine,Yuan,Christine Yuan,Female,christine4@adventure-works.com,06-02-2020,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,Female,jaclyn12@adventure-works.com,03-02-2020,Geelong
11048,Jeremy,Powell,Jeremy Powell,Male,jeremy26@adventure-works.com,10-02-2020,Sunbury
11049,Carol,Rai,Carol Rai,Female,carol8@adventure-works.com,09-03-2022,Chula Vista
11050,Alan,Zheng,Alan Zheng,Male,alan23@adventure-works.com,20-02-2020,Hobart
11051,Daniel,Johnson,Daniel Johnson,Male,daniel18@adventure-works.com,29-12-2022,Caloundra
11052,Heidi,Lopez,Heidi Lopez,Female,heidi19@adventure-works.com,17-02-2020,Matraville
11053,Ana,Price,Ana Price,Female,ana0@adventure-works.com,17-01-2022,San Diego
11054,Deanna,Munoz,Deanna Munoz,Female,deanna33@adventure-works.com,03-02-2020,Geelong
11055,Gilbert,Raje,Gilbert Raje,Male,gilbert35@adventure-works.com,31-01-2020,East Brisbane
11056,Michele,Nath,Michele Nath,Female,michele19@adventure-works.com,26-02-2020,Newcastle
11057,Carl,Andersen,Carl Andersen,Male,carl12@adventure-works.com,22-02-2020,Lane Cove
11058,Marc,Diaz,Marc Diaz,Male,marc6@adventure-works.com,09-03-2020,Findon
11059,Ashlee,Andersen,Ashlee Andersen,Female,ashlee19@adventure-works.com,18-02-2022,Townsville
11060,Jon,Zhou,Jon Zhou,Male,jon28@adventure-works.com,19-03-2020,Warrnambool
11061,Todd,Gao,Todd Gao,Male,todd14@adventure-works.com,13-03-2020,Gold Coast
11062,Noah,Powell,Noah Powell,Male,noah5@adventure-works.com,07-01-2022,Portland
11063,Angela,Murphy,Angela Murphy,Female,angela41@adventure-works.com,12-01-2022,Redmond
11064,Chase,Reed,Chase Reed,Male,chase21@adventure-works.com,25-01-2022,Downey
11065,Jessica,Henderson,Jessica Henderson,Female,jessica29@adventure-works.com,10-02-2022,La Jolla
11066,Grace,Butler,Grace Butler,Female,grace62@adventure-works.com,31-05-2022,Lebanon
11067,Caleb,Carter,Caleb Carter,Male,caleb40@adventure-works.com,18-08-2022,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,Female,tiffany17@adventure-works.com,30-04-2022,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,Female,carolyn30@adventure-works.com,17-04-2020,Gold Coast
